#{"t_start": 1638379752.447189, "env_id": null}
r,l,t
29667.889906,252,3.753191
33817.98777,268,4.344303
25490.443069,284,4.929365
28197.266104,281,5.519452
26345.745809,271,6.090048
34300.178479,266,6.656661
25577.114081,248,7.184311
24352.605084,269,9.204488
27674.354473,258,9.797559
28624.725356,269,10.379934
27614.651597,297,11.011375
39946.242158,290,11.65698
33535.630591,291,12.278472
29865.317589,261,12.823701
27930.305518,274,13.414799
27208.044387,292,15.390925
26336.24822,285,16.014387
29630.707598,279,16.620872
34946.435072,288,17.257845
29613.471014,291,17.86433
30899.146426,283,18.512898
38131.593074,293,19.165497
33892.33026,295,22.308558
39696.842603,272,23.111432
29523.35373,277,23.864188
27366.091271,276,24.639572
31110.004851,280,25.430702
34331.771315,273,26.216161
37525.349526,291,27.205072
34134.431068,281,30.082282
31713.312459,272,30.724298
37857.056758,290,31.418568
31847.883739,287,32.089833
37859.030164,287,32.766144
32186.1459,288,33.587029
32581.478398,308,34.51217
34870.189765,277,36.987529
33605.957042,299,37.636646
34717.029561,302,38.399795
32399.694911,280,38.941612
28258.115918,303,39.523632
34090.236024,303,40.08288
32415.720745,294,40.638508
30053.086157,291,42.610814
34013.780643,282,43.167292
28839.413122,288,43.883561
30690.134499,291,44.454396
36887.13669,303,45.041054
34828.680429,273,45.707929
28563.274179,283,46.231927
37560.704384,292,47.99305
32695.868168,290,48.651966
39839.749862,264,49.129807
32651.811288,278,49.61108
34499.286761,268,50.101183
34692.706297,298,50.602229
33617.70803,295,51.108145
38734.592604,290,52.741668
38960.619951,300,53.251863
39862.724285,285,53.775366
33797.596507,296,54.324533
41064.511522,290,54.883199
41212.880121,279,55.450367
32193.29669,278,55.985797
35170.193164,285,56.557367
35823.497317,297,58.263017
34503.428662,295,58.775329
28620.775277,294,59.274362
36443.928843,292,59.785002
38881.20289,307,60.369706
42125.415741,307,60.92348
37239.478022,310,62.779988
34950.224851,298,63.332984
37592.492901,302,63.848064
45826.073641,296,64.3726
37546.970555,293,64.903886
33135.544519,311,65.433749
39715.329691,295,65.927379
39530.738664,298,67.529931
41749.686856,298,68.036222
30141.343244,287,68.536644
36879.019717,291,69.025854
40257.871922,308,69.550754
39396.534379,315,70.068493
