agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
PPO,0,0,48465.94266586626,0.61,0.054789806547619044,0.029905731073207396,0.07212956238460767,0.7046263345195729
PPO,1,0,106419.5515113947,0.43,0.06377083333333336,0.046358433420363825,0.08753045854644045,0.7808764940239044
PPO,2,0,68544.89549790596,0.69,0.04460825027685494,0.03652458240413484,0.07422530982871098,0.7682119205298014
PPO,3,0,138643.17824047484,0.4,0.062358597285067874,0.05357878978846658,0.09423338659658005,0.8513513513513513
PPO,4,0,56989.510016815504,0.61,0.057828105493133594,0.04568600841048341,0.07632074771137223,0.7761194029850746
PPO,5,0,235794.5166816689,0.32,0.12814867424242427,0.08772085599631133,0.14914857563150496,1.4841628959276019
PPO,6,0,157581.59416309363,0.33,0.06363058943089428,0.05744277900091466,0.09440041422217846,0.8640776699029126
PPO,7,0,109448.35328885932,0.39,0.071017558224163,0.06005442372743517,0.09234575797332684,0.8695652173913043
PPO,8,0,115179.70270359726,0.32,0.06244765494137353,0.04193943559633055,0.09656382112679819,0.835
PPO,9,0,79620.1563551111,0.44,0.05907960199004973,0.03220372731118259,0.07989227326908149,0.7821782178217822
PPO,10,0,112072.10761713426,0.41,0.049588815789473696,0.0574991583181517,0.08253219629967254,0.8429319371727748
PPO,11,0,135750.31105038564,0.29,0.08210951730418942,0.06544628183999288,0.09329418303327801,0.8478260869565217
PPO,12,0,144038.9504203169,0.46,0.06460380276564787,0.06042794303865191,0.09991637134535289,0.8652173913043478
PPO,13,0,187806.51782266272,0.47,0.06981213609898101,0.06464399521988473,0.1274227888307918,1.2130434782608697
PPO,14,0,90589.72163382656,0.45,0.06104008838383839,0.03692172584263588,0.07304529387804928,0.7688442211055276
PPO,15,0,122813.89398538692,0.3,0.06827799479166666,0.03236553078790328,0.07679069236389864,0.7668393782383419
PPO,16,0,112285.76466707909,0.49,0.08021705020920503,0.047598586346393815,0.10534325681490173,1.0958333333333334
PPO,17,0,100974.14700953875,0.46,0.06782356194690264,0.03738716314151781,0.08257852704787688,0.8061674008810573
PPO,18,0,117299.21847431097,0.34,0.07303155637254903,0.03446613999523842,0.08180920136904203,0.7853658536585366
PPO,19,0,109406.36745223086,0.47,0.06476353727144867,0.0428832427553233,0.08793543504425963,0.8109243697478992
PPO,20,0,81243.14650738752,0.3,0.08100328947368428,0.04420063051922686,0.13751239226971598,1.4285714285714286
PPO,21,0,157235.91677997875,0.36,0.07482638888888885,0.052777870033395353,0.09506601433577405,0.8571428571428571
PPO,22,0,49674.13119242016,0.66,0.051236303344867354,0.0401740384102295,0.08369214552817493,0.7620689655172413
PPO,23,0,49886.39046089036,0.74,0.044901023131672615,0.039316769865455806,0.07747078083948727,0.7269503546099291
PPO,24,0,75999.02125958644,0.48,0.06563941040843216,0.03951218336775385,0.0777225160273067,0.7559055118110236
PPO,25,0,103110.54291154756,0.49,0.05978777662517293,0.03497798340523473,0.08442604277608566,0.7851239669421488
PPO,26,0,130205.02987908082,0.33,0.07585093896713613,0.06385837047812715,0.09570623241848623,0.8598130841121495
PPO,27,0,107609.03139567704,0.49,0.049169419970631435,0.04971568618587338,0.082203124679351,0.8333333333333334
PPO,28,0,87325.16192395487,0.3,0.06936005015432102,0.03849821724203992,0.08798093763569322,0.7926267281105991
PPO,29,0,133993.41835022377,0.34,0.07671874999999997,0.047885426639507525,0.09015352067533138,0.8557213930348259
PPO,30,0,123214.24063429503,0.45,0.06680410879629624,0.060578080022874445,0.0819096566054457,0.8617511520737328
PPO,31,0,73619.89132574627,0.5,0.06417982081911264,0.036673387530658796,0.08222848618236331,0.782312925170068
PPO,32,0,93734.30541416178,0.51,0.05813746438746437,0.05059099303934191,0.08486913665847684,0.7914893617021277
PPO,33,0,154861.86694371857,0.33,0.07057422529313234,0.046043571594439774,0.08383479415776161,0.84
PPO,34,0,152427.00830066862,0.2,0.08510101010101014,0.05496783092458202,0.10521491388520257,0.9096385542168675
PPO,35,0,174965.76342657307,0.43,0.06588110036832412,0.06331392242356453,0.11089931015875029,1.0384615384615385
PPO,36,0,55663.95391741883,0.77,0.04513597595078298,0.038206809852791214,0.08002694159547782,0.7558528428093646
PPO,37,0,118592.89308694951,0.26,0.08262046089385475,0.046160278284246736,0.08424713347205885,0.8666666666666667
PPO,38,0,110991.45564329442,0.27,0.07127117673992676,0.03488949022730456,0.0907961802415616,0.825136612021858
PPO,39,0,96319.78226009491,0.34,0.07374426200564974,0.03522426881904939,0.0793469179214291,0.7848101265822784
PPO,40,0,103854.52556550036,0.5,0.05833131459948317,0.0571234216049332,0.09651858045188696,0.833976833976834
PPO,41,0,83303.88288214884,0.56,0.039134268372703424,0.05573573190637852,0.09783852278693302,0.8431372549019608
PPO,42,0,170879.48528797057,0.32,0.09829776422764229,0.05987748060119041,0.16034676685998478,1.6213592233009708
PPO,43,0,129947.53271908412,0.4,0.06268339201877934,0.059206985657293126,0.09066257221550061,0.8785046728971962
PPO,44,0,90043.2609897171,0.52,0.06447523584905657,0.037922213995486294,0.08148948331327784,0.7894736842105263
PPO,45,0,143704.63411953955,0.29,0.07045361247947461,0.0441207081909853,0.09957767991081967,0.8088235294117647
PPO,46,0,58668.23260704987,0.61,0.05135301353013529,0.037420648290771456,0.08127737173461363,0.7720588235294118
PPO,47,0,123667.88666405542,0.41,0.06618514150943389,0.04387178852200799,0.08949863503410767,0.812206572769953
PPO,48,0,110231.8629822384,0.28,0.07468475877192986,0.04825566237765332,0.09573941793642507,0.8691099476439791
PPO,49,0,113596.6579094293,0.35,0.08002151268115933,0.044997342425185695,0.0780859075095828,0.8108108108108109
PPO,50,0,112779.35196820777,0.48,0.058240553306342736,0.053019289896213045,0.09239336965115817,0.8104838709677419
PPO,51,0,115325.5425996867,0.56,0.05917136591478696,0.04467432357294523,0.08255377815698664,0.8127340823970037
PPO,52,0,115516.79138350733,0.26,0.07593599033816424,0.049741610269280326,0.09769051264786066,0.8557692307692307
PPO,53,0,114372.37803342164,0.42,0.05806240657698057,0.057446077109430616,0.09809140048298536,0.8705357142857143
PPO,54,0,142410.57373626437,0.41,0.05720880681818182,0.04723830775623554,0.09625501730452128,0.8280542986425339
PPO,55,0,75809.27455660785,0.39,0.07346432403433481,0.043580481186732196,0.08502046387134288,0.7991452991452992
PPO,56,0,217183.5478304905,0.47,0.08533187984496131,0.08402494793479724,0.16991195309680995,1.3888888888888888
PPO,57,0,126370.81100540051,0.33,0.06560819892473119,0.051191906775133335,0.08844238710043906,0.8440366972477065
PPO,58,0,136477.25615904795,0.31,0.07054188255613127,0.04772433678975035,0.09762906619483049,0.8505154639175257
PPO,59,0,127809.06114366178,0.35,0.07280815972222217,0.053940303643009085,0.09353032127286746,0.8525345622119815
PPO,60,0,131842.03367475135,0.32,0.07320763500931095,0.03784080386737618,0.08349766512349668,0.8111111111111111
PPO,61,0,125968.48648953393,0.44,0.04995616749174914,0.057735700098798,0.09042912515874105,0.8472906403940886
PPO,62,0,150234.3452420409,0.29,0.06803728070175438,0.055106054418257694,0.0949062868361025,0.8638743455497382
PPO,63,0,103157.74737365544,0.45,0.06326138771186447,0.04383086153694883,0.08971111775643942,0.8312236286919831
PPO,64,0,142032.25251544663,0.27,0.08259320175438592,0.06720387081677924,0.1017672033735509,0.9162303664921466
PPO,65,0,92971.85795630484,0.48,0.05899784482758617,0.038413052811143454,0.08467450334828312,0.8129770992366412
PPO,66,0,120418.60916914517,0.34,0.07121443089430896,0.039342372416868006,0.08994156345009122,0.8203883495145631
PPO,67,0,114367.00038293866,0.33,0.08050805817610052,0.054662707013941006,0.0900792762614563,0.8826291079812206
PPO,68,0,0.0,0.0,0.0,0.0,0.0,0.0
PPO,69,0,143973.11518617687,0.33,0.06319802405498282,0.055319225728135746,0.10101064631707968,0.8717948717948718
PPO,70,0,145137.35927685865,0.37,0.06862529342723,0.04125181299115749,0.08274106047516028,0.8130841121495327
PPO,71,0,101086.5454380741,0.46,0.05159031148867315,0.05345491246521809,0.0905615911279874,0.855072463768116
PPO,72,0,105619.99687862683,0.42,0.06024460565476186,0.04646787014184901,0.07333203448731447,0.8044444444444444
PPO,73,0,110087.60480195265,0.29,0.07617795950155758,0.03299133553595315,0.08797101689585247,0.7953488372093023
PPO,74,0,52261.35200668897,0.51,0.05752755132850241,0.03823281362477701,0.07491133684712861,0.7653429602888087
PPO,75,0,155479.84110877567,0.43,0.04641990291262141,0.046079461452653854,0.09532513793233355,0.8357487922705314
PPO,76,0,122684.7098701163,0.42,0.05503627232142851,0.051240558388454795,0.106564623510772,0.9466666666666667
PPO,77,0,88014.25497295088,0.5,0.05551662929745888,0.03514730199226115,0.08349381224450675,0.7767857142857143
PPO,78,0,100062.16422277932,0.35,0.0718135917030567,0.04404827332919016,0.08378763226456264,0.7869565217391304
PPO,79,0,95527.92364579285,0.36,0.06730769230769233,0.037516083422983765,0.08237866292582335,0.7829787234042553
PPO,80,0,145967.91348832587,0.44,0.06501551418439709,0.061083851504939154,0.10766620322227823,0.9703389830508474
PPO,81,0,121400.08164886603,0.36,0.07684160685805429,0.05644386910118736,0.08380146851028947,0.8523809523809524
PPO,82,0,123079.49746806778,0.29,0.06928745567375887,0.04810068538767987,0.08008580648261886,0.8465608465608465
PPO,83,0,62448.83411265268,0.71,0.03624441964285716,0.04075519249074793,0.07979672684100889,0.7864768683274022
PPO,84,0,158216.43224206255,0.29,0.064463141025641,0.04183218209675386,0.09529147416703007,0.8316326530612245
PPO,85,0,106499.31839286523,0.49,0.06149360889774234,0.04130662237376542,0.0777359296048189,0.8095238095238095
PPO,86,0,149981.7774010258,0.19,0.08859620418848152,0.048979526079119914,0.09302234594298225,0.875
PPO,87,0,152086.2565395549,0.28,0.07291666666666663,0.048686484928337666,0.09430588019729007,0.8579234972677595
PPO,88,0,98168.5412097278,0.41,0.06366237482117305,0.03475522511268451,0.08342591661087502,0.8162393162393162
PPO,89,0,55496.583012717136,0.48,0.06174879807692309,0.03405571157195378,0.07468940008832549,0.7547892720306514
PPO,90,0,127328.90029485905,0.46,0.07286931818181817,0.03960530838118322,0.08770193268667917,0.9004524886877828
PPO,91,0,143222.86325865678,0.29,0.07490879416282645,0.05063516462858496,0.09086936370200376,0.8440366972477065
PPO,92,0,125897.18407178721,0.27,0.0775037013536379,0.036142130027859334,0.09046056942632018,0.8585858585858586
PPO,93,0,78871.39452193536,0.54,0.052582908163265295,0.039192066743167706,0.08374119302931825,0.7682926829268293
PPO,94,0,154707.65803466068,0.31,0.0716359289617486,0.07077568684103769,0.10919647178052147,1.2173913043478262
PPO,95,0,50994.98693325848,0.77,0.03439207650273221,0.04157666743065576,0.0815692038323515,0.7647058823529411
PPO,96,0,143925.0270085033,0.27,0.07830112721417071,0.04423545082468877,0.09104939410307072,0.8365384615384616
PPO,97,0,131646.72612445598,0.28,0.07552083333333329,0.055311361343522,0.10447255254580998,0.9
PPO,98,0,112628.11220823643,0.5,0.06162499999999997,0.04187627044572769,0.0781966138624713,0.8047808764940239
PPO,99,0,104293.04445624101,0.41,0.07211277173913043,0.04528648958271442,0.08487038453738752,0.8138528138528138
PPO,100,0,122596.88279494908,0.3,0.06413210445468513,0.056268355093715326,0.08844693909592131,0.8577981651376146
PPO,101,0,139821.3730063397,0.43,0.05978682170542635,0.04763439086640792,0.09027822396166128,0.8333333333333334
PPO,102,0,90645.0995935798,0.55,0.05658864068441067,0.0551044019431155,0.08882249479815185,0.8257575757575758
